Decade,Song,Film,Year,MusicDirector,Lyricist,Singer1,Singer2,Singer3
1970s,"chorii chorii, chupake chupake, palako.n ke piichhe ... -  View",Aap Ki Kasam (1974),1974,R D Burman,Anand Bakshi,Lata,,
1960s,agar mujh se muhabbat hai -  View,Aapki Parchhaiyan (1964),1964,Madan Mohan,Raja Mehdi Ali Khan,Lata,,
1940s,paa laaguu.N kar jorii re -  View,Aapki Sewa Mein (1947),1947,Datta Davjekar,Mahipal,Lata,,
1950s,man me.n kisii kii priit basaale -  View,Aaraam (1951),1951,Anil Biswas,Rajinder Krishan,Lata,,
1950s,mil mil ke bichha.D gaye nain -  View,Aaraam (1951),1951,Anil Biswas,Rajinder Krishan,Lata,,
1950s,ruuThaa huaa cha.ndaa hai -  View,Aaraam (1951),1951,Anil Biswas,Prem Dhawan,Lata,,
1950s,uja.Dii re mere pyaar kii duniyaa -  View,Aaraam (1951),1951,Anil Biswas,Rajinder Krishan,Lata,,
1950s,baalamavaa naadaan -  View,Aaraam (1951),1951,Anil Biswas,Prem Dhawan,Lata,,
1960s,"kabhii to milegii, kahii.n to milegii -  View",Aarti (1962),1962,Roshan,Majrooh,Lata,,
1960s,baar baar tohe kyaa samajhaaye -  View,Aarti (1962),1962,Roshan,Majrooh,Lata, Rafi,
1960s,bane ho ek Kaak se to duur kyaa qariib kyaa -  View,Aarti (1962),1962,Roshan,Majrooh,Lata,,
1950s,mai.n huu.N tere sapano.n kii raanii -  View,Aas (1953),1953,Shankar-Jaikishan,Shailendra,Lata, Chorus,
1950s,chaahe nainaa churaa_o ... pyaar ho ke rahegaa -  View,Aas (1953),1953,Shankar-Jaikishan,Shailendra,Lata, Talat,
1980s,tum jo chale gaye to hogii ba.Dii Karaabii -  View,Aas Paas (1980),1980,Laxmikant-Pyarelal,Anand Bakshi,Lata, Kishore,
1980s,shiishaa ho yaa dil ho aaKir TuuT jaataa hai -  View,Aashaa (1980),1980,Laxmikant-Pyarelal,Anand Bakshi,Lata,,
1960s,mahataab teraa cheharaa -  View,Aashiq (1962),1962,Shankar-Jaikishan,Shailendra,Lata, Mukesh,
1960s,nashiilii raat hai ... lo aayii milan kii raat suhaa... -  View,Aashiq (1962),1962,Shankar-Jaikishan,Hasrat,Lata,,
1960s,ik thaa bachapan -  View,Aashirwad (1968),1968,Vasant Desai,Gulzar,Lata, Chorus,
1950s,meraa qaraar le jaa mujhe beqaraar kar jaa -  View,Aashiyaanaa (1952),1952,Madan Mohan,Rajinder Krishan,Talat,Lata,
1950s,mere piyaa se ko_ii jaake kah de -  View,Aashiyaanaa (1952),1952,Madan Mohan,Rajinder Krishan,Lata,,
1950s,tum chaa.Nd ke saath chale aa_o -  View,Aashiyaanaa (1952),1952,Madan Mohan,Rajinder Krishan,Lata,,
1960s,nii.nd kabhii rahatii thii aa.Nkho.n me.n ab rahate ... -  View,Aasra (1966),1966,Laxmikant-Pyarelal,Anand Bakshi,Lata,,
1960s,da_iiyaa re da_iiyaa jashodaa ma_iiyaa isako sa.mbhaal -  View,Aasra (1966),1966,Laxmikant-Pyarelal,Anand Bakshi,Lata,,
1950s,dhita.ng dhita.ng bole -  View,Aawaaz (1956),1956,Salil Chowdhury,Prem Dhawan,Lata,,
1950s,dil diivaanaa dil mastaanaa maane na -  View,Aawaaz (1956),1956,Salil Chowdhury,Zia Sarhadi,Lata, Talat,
1950s,jhun jhun jhunaa -  View,Aawaaz (1956),1956,Salil Chowdhury,Vishwamitra Adil,Lata,,
1950s,majabuur-e-muhabbat ne phir ham ko pukaaraa hai -  View,Aawaaz (1956),1956,Salil Chowdhury,Vishwamitra Adil,Lata,,
1950s,ulfat ke hai.n kaam niraale -  View,Aawaaz (1956),1956,Salil Chowdhury,Zia Sarhadi,Lata,,
1950s,"dekho jii bahar aayi, baaGo.n me.n khilii kaliyaa.n -  View",Aazaad (1955),1955,C Ramachandra,Rajinder Krishan,Lata,,
1950s,jaa rii jaa rii o kaarii badariyaa -  View,Aazaad (1955),1955,C Ramachandra,Rajinder Krishan,Lata,,
1950s,kabhii Kaamosh rahate hai.n ... pii ke daras ko tara... -  View,Aazaad (1955),1955,C Ramachandra,Rajinder Krishan,Lata, Male Voice,
1950s,"kitanaa hasii.n hai mausam, kitanaa hasii.n safar hai -  View",Aazaad (1955),1955,C Ramachandra,Rajinder Krishan,Lata, Chitalkar,
1950s,kitanii javaa.N hai raat koii yaad aa gayaa -  View,Aazaad (1955),1955,C Ramachandra,Rajinder Krishan,Lata,,
1950s,"na bole, na bole, na bole re, ghuu.NghaT ke paT naa ... -  View",Aazaad (1955),1955,C Ramachandra,Rajinder Krishan,Lata,,
1980s,OM jay jagadiish hare -  View,Abdullah (1980),1980,R D Burman,Traditional,Lata,,
1960s,vaadiyaa.N meraa daaman -  View,Abhilasha (1968),1968,R D Burman,Majrooh,Lata,,
1970s,"piyaa binaa piyaa binaa, baasiyaa -  View",Abhimaan (1973),1973,S D Burman,Majrooh,Lata,,
1970s,ab to hai tumase har khushii apanii -  View,Abhimaan (1973),1973,S D Burman,Majrooh,Lata,,
1970s,"he nadiyaa kinaare he raa_ii, aa_ii ka.nganaa -  View",Abhimaan (1973),1973,S D Burman,Majrooh,Lata,,
1970s,khi.nche hamase saa.Nware -  View,Abhinetri (1970),1970,Laxmikant-Pyarelal,Majrooh,Lata,,
1950s,aa.Nkho.n\-aa.Nkho.n me.n unase pyaar ho gayaa -  View,Adaa (1951),1951,Madan Mohan,Prem Dhawan,Lata,,
1950s,priitam merii duniyaa me.n do din to rahe hote -  View,Adaa (1951),1951,Madan Mohan,Raja Mehdi Ali Khan,Lata,,
1950s,saa.Nvarii suurat man bhaa_ii re piyaa -  View,Adaa (1951),1951,Madan Mohan,Prem Dhawan,Lata,,
1950s,jaa jaa re jaa saajanaa -  View,Adaalat (1958),1958,Madan Mohan,Rajinder Krishan,Lata,Asha,
1950s,"jaanaa thaa hamase duur, bahaane banaa liye -  View",Adaalat (1958),1958,Madan Mohan,Rajinder Krishan,Lata,,
1950s,"un ko ye shikaayat hai ke ham, kuchh nahii.n kahate -  View",Adaalat (1958),1958,Madan Mohan,Rajinder Krishan,Lata,,
1950s,yuu.N hasarato.n ke daaG muhabbat me.n dho liye -  View,Adaalat (1958),1958,Madan Mohan,Rajinder Krishan,Lata,,
1950s,Kushiyo.n ke din manaye jaa ... abhii to mai.n jawaa... -  View,Afsaanaa (1951),1951,Husnlal-Bhagatram,Gaafil Haranaalwi,Lata,,
1950s,tere Kayaal me.n ... kahaa.N hai tuu mere ... jawaan... -  View,Afsaanaa (1951),1951,Husnlal-Bhagatram,Asad Bhopali,Lata,,
1980s,"hame.n aur jiine kii chaahat na hotii, agar tum na h... -  View",Agar Tum Na Hote (1983),1983,R D Burman,Gulshan Bawra,Kishore,Lata,
1980s,"aaj koii nahii.n apanaa, kise Gam ye sunaae.n -  View",Agni Pareekshaa (1981),1981,Salil Chowdhury,Yogesh,Lata,,
1950s,chho.Do chho.Do jii piyaa meraa to.Do naa jiyaa -  View,Ajeeb Ladki (1952),1952,Ghulam Mohammad,Shakeel,Lata, Talat,
1950s,saarii saarii raat terii yaad sataaye -  View,Aji Bas Shukriyaa (1958),1958,Roshan,Farouk Qaisar,Lata,,
1950s,bedardii nazare.n milaa ke kah de kyaa hai terii mar... -  View,Aji Bas Shukriyaa (1958),1958,Roshan,Farouk Qaisar,Lata,,
1960s,mile to phir jhuke nahii.n nazar vahii pyaar kii -  View,Akashdeep (1965),1965,Chitragupt,Majrooh,Lata,,
1960s,dil kaa diyaa jalaa ke gayaa -  View,Akashdeep (1965),1965,Chitragupt,Majrooh,Lata,,
1960s,tho.Dii der ke li_e mere ho jaa_o -  View,Akeli Mat Jaiyo (1963),1963,Madan Mohan,Majrooh,Lata,,
1960s,vo jo milate the kabhii ham se diivaano.n kii tarah -  View,Akeli Mat Jaiyo (1963),1963,Madan Mohan,Majrooh,Lata,,
1950s,dhiire se aajaa rii a.Nkhiyan me.n -  View,Albela (1951),1951,C Ramachandra,Rajinder Krishan,Lata, Chitalkar,
