Decade,Song,Film,Year,MusicDirector,Lyricist,Singer1,Singer2,Singer3
1950s,Tim\-Tim karate taare ye kahate hai.n saare -  View,Chiraagh Kahaan Roshni Kahaan (1959),1959,Ravi,Ravi,Lata,,
1960s,terii aa.Nkho.n ke sivaa duniyaa me.n rakhaa kyaa hai -  View,Chirag (1969),1969,Madan Mohan,Majrooh,Rafi ,Lata,
1960s,sakhii re meraa man ulajhe tan Dole -  View,Chitralekha (1964),1964,Roshan,Sahir,Lata,,
1960s,sansaar se bhaage phirate ho bhagawaan ko tum kyaa p... -  View,Chitralekha (1964),1964,Roshan,Sahir,Lata,,
1960s,ai rii jaane na duu.Ngii -  View,Chitralekha (1964),1964,Roshan,Sahir,Lata,,
1950s,dar\-dar kii Thokare.n hai.n ... ab merii zindagii hai -  View,Chor Baazaar (1954),1954,Sardar Malik,Shakeel,Lata,,
1950s,huii ye ham se naadaanii -  View,Chor Baazaar (1954),1954,Sardar Malik,Shakeel,Lata,,
1950s,chalataa rahe ye kaaravaa.N umr\-e\-rawaa.N kaa kaar... -  View,Chor Baazaar (1954),1954,Sardar Malik,Shakeel,Lata,,
1980s,tumase milake zi.ndagii ko yuu.N lagaa -  View,Chor Police (1983),1983,R D Burman,Nida Fazli,Lata,,
1950s,jahaa.N mai.n jaatii huu.N vahii.n chale aate ho -  View,Chori Chori (1956),1956,Shankar-Jaikishan,Shailendra,Lata, Manna Dey,
1950s,man bhaavan ke ghar jaae gorii -  View,Chori Chori (1956),1956,Shankar-Jaikishan,Shailendra,Lata, Asha,
1950s,o Tim kaa Timaa ... us paar saajan is paar dhaare -  View,Chori Chori (1956),1956,Shankar-Jaikishan,Hasrat,Lata,,
1950s,pa.nchhii banuu.N u.Datii phiruu.N mast gagan me.n -  View,Chori Chori (1956),1956,Shankar-Jaikishan,Hasrat,Lata,,
1950s,"rasik balamaa, haay, dil kyo.n lagaayaa tose -  View",Chori Chori (1956),1956,Shankar-Jaikishan,Hasrat,Lata,,
1950s,ye raat bhiigii\-bhiigii ye mast fizaa_e.N -  View,Chori Chori (1956),1956,Shankar-Jaikishan,Hasrat,Lata, Manna Day,
1940s,dil\-e\-naashaad ko jiine kii hasarat ho ga_ii tum se -  View,Chunaria (1948),1948,Hansraj Behl,B R Sharma,Lata,,
1970s,ab ke sajan saavan me.n -  View,Chupke Chupke (1975),1975,S D Burman,Anand Bakshi,Lata,,
1970s,baaGo.n me.n kaise ye phuul khilate hai.n -  View,Chupke Chupke (1975),1975,S D Burman,Anand Bakshi,Lata, Mukesh,
1970s,chupake chupake chal rii purava_iiyaa -  View,Chupke Chupke (1975),1975,S D Burman,Anand Bakshi,Lata,,
1950s,dekho aayaa ye kaisaa zamaanaa -  View,Daagh (1952),1952,Shankar-Jaikishan,Shailendra,Lata, Chorus,
1950s,laage jab se nain laage -  View,Daagh (1952),1952,Shankar-Jaikishan,Shailendra,Lata,,
1950s,maut aa ga_ii na aa_e vo ... kaahe ko der lagaa_ii re -  View,Daagh (1952),1952,Shankar-Jaikishan,Hasrat,Lata,,
1950s,priit ye kaisii bol rii duniyaa -  View,Daagh (1952),1952,Shankar-Jaikishan,Shailendra,Lata,,
1970s,jab bhii jii chaahe na_ii duniyaa basaa lete hai.n log -  View,Daagh (1973),1973,Laxmikant-Pyarelal,Sahir,Lata,,
1950s,nazaro.n se chhup gayaa hai taqadiir kaa saveraa -  View,Daaku Ki Ladki (1954),1954,Hemant Kumar,Kaif Irfani,Lata, Hemant,
1950s,ho o o yaad aane lagii dil dukhaane lagii -  View,Daaman (1951),1951,K Datta,Ehsan Rizvi,Lata, Rafi,
1950s,chakorii kaa cha.ndaa se pyaar -  View,Daaman (1951),1951,K Datta,Raja Mehdi Ali Khan,Lata,,
1950s,aa naino.n me.n jhuumakar saajanaa -  View,Dara (1953),1953,Mohammed Shafi,Arshi Jaipuri,Lata, Chorus,
1980s,na jaane kyaa huaa jo tuune chhuu liyaa -  View,Dard (1981),1981,Khayyam,Naqsh Lyallpuri,Lata,,
1950s,na to din hii din vo rahe mere -  View,Dard-e-Dil (1953),1953,R C Boral,D N Madhok,Lata,,
1990s,"likhaa hai ye in havaa_o.n pe, likhaa hai ye in ghaT... -  View",Darr (1993),1993,Shiv-Hari,Anand Bakshi,Lata, Hariharan,
1990s,tuu mere saamane mai.n tere saamane tujhako dekhuu.N... -  View,Darr (1993),1993,Shiv-Hari,Anand Bakshi,Lata, Udit Narayan,
1990s,chhoTaa saa ghar hai ye magar ... daravaazaa ba.nd k... -  View,Darr (1993),1993,Shiv-Hari,Anand Bakshi,Lata, Abhijit,
1970s,maaii rii mai.n kaase kahuu.N piir apane jiyaa kii -  View,Dastak (1970),1970,Madan Mohan,Majrooh,Lata, Madan Mohan,
1970s,"bai.nyaa na dharo, o balamaa, na karo mose raar -  View",Dastak (1970),1970,Madan Mohan,Majrooh,Lata,,
1970s,ham hai.n mataa\-e\-kuuchaa\-o\-baazaar kii tarah -  View,Dastak (1970),1970,Madan Mohan,Majrooh,Lata,,
1980s,zi.ndagii ye zi.ndagii ... jawaanii jhuum ke gaa_e -  View,Daulat (1981),1981,R D Burman,"Vitthalbhai Patel, Nida Fazli",Lata,,
1950s,duniyaa ne terii duniyaa vaale -  View,Deedaar (1951),1951,Naushad,Shakeel,Lata,,
1950s,le jaa merii du_aa_e.N le jaa parades jaane vaale -  View,Deedaar (1951),1951,Naushad,Shakeel,Lata,,
1950s,bachapan ke din bhulaa na denaa -  View,Deedaar (1951),1951,Naushad,Shakeel,Lata, Shamshad,
1950s,"tiir khaate jaae.nge, aa.Nsuu bahaate jaae.nge -  View",Deewaanaa (1952),1952,Naushad,Shakeel,Lata,,
1950s,ham panchhii masataane ek hii dhun hai -  View,Dekh Kabiraa Royaa (1957),1957,Madan Mohan,Rajinder Krishan,Lata, Geeta Dutt, Seeta
1950s,lagan tose laagii balamaa -  View,Dekh Kabiraa Royaa (1957),1957,Madan Mohan,Rajinder Krishan,Lata,,
1950s,merii viiNaa tum bin roye sajanaa sajanaa sajanaa -  View,Dekh Kabiraa Royaa (1957),1957,Madan Mohan,Rajinder Krishan,Lata,,
1950s,"tuu pyaar kare yaa Thukaraae, ham to hai.n tere diva... -  View",Dekh Kabiraa Royaa (1957),1957,Madan Mohan,Rajinder Krishan,Lata,,
1960s,zaalim zamaane ne itanaa sataayaa hai -  View,Delhi Junction/ Dilli Junction (1960),1960,Kalyanji-Anandji,Gulshan Bawra,Lata,,
1970s,"aap kahe.n aur ham na aaye.n, aise to haalaat nahii.n -  View",Des Pardes (1978),1978,Rajesh Roshan,Amit Khanna,Lata,,
1960s,haay ruuThe sai.nyaa hamaare sai.nyaa kyo.n ruuThe -  View,Devar (1966),1966,Roshan,Anand Bakshi,Lata,,
1960s,aap aa jaa_e.N to ... duniyaa me.n aisaa kahaa.N sab... -  View,Devar (1966),1966,Roshan,Anand Bakshi,Lata,,
1950s,diladaar ke qadamo.n me.n ... ab aage terii marzii -  View,Devdaas (1955),1955,S D Burman,Sahir,Lata,,
1950s,jise tuu kabuul kar le vo sadaa kahaa.N se laauu.N -  View,Devdaas (1955),1955,S D Burman,Sahir,Lata,,
1950s,o aanewaale ruk jaa ko_ii dam -  View,Devdaas (1955),1955,S D Burman,Sahir,Lata,,
1950s,kaise aauu.N jamunaa ke tiir -  View,Devta (1956),1956,C Ramachandra,Rajinder Krishan,Lata,,
1950s,kisii se pyaar hai hamako -  View,Devta (1956),1956,C Ramachandra,Rajinder Krishan,Lata, Talat,
1950s,ai chaa.Nd kal jo aanaa unako bhii saath laanaa -  View,Devta (1956),1956,C Ramachandra,Rajinder Krishan,Lata,,
1950s,zaalim terii aa.Nkho.n ne kyaa chiiz pilaa dii hai -  View,Devta (1956),1956,C. Ramachandra,Rajinder Krishan,Lata,,
1950s,do naino.n kaa banaa jhuulanaa -  View,Devta (1957),1957,C Ramachandra,Rajinder Kishan,Lata,,
1970s,gulamohar gar tumhaaraa naam hotaa -  View,Devta (1978),1978,R D Burman,Gulzar,Lata, Kishore,
1980s,ye aa.Nkhe.n dekh kar ham saarii duniyaa bhuul jaate... -  View,Dhanwaan (1981),1981,Hridaynath Mangeshkar,Sahir,Lata, Suresh Wadkar,
1950s,tuu mere pyaar kaa phuul hai -  View,Dhool Ka Phool (1959),1959,N Dutta,Sahir,Lata,,
1950s,ba.Dii barabaadiyaa.N le kar merii duniyaa.N me.n py... -  View,Dhun (1953),1953,Madan Mohan,Kaif Irfani,Lata,,
1960s,a.ndaaz meraa mastaanaa ... takaaliinaa -  View,Dil Apnaa Aur Preet Paraai (1960),1960,Shankar-Jaikishan,Shailendra,Lata, Chorus,
1960s,meraa dil ab teraa o saajanaa -  View,Dil Apnaa Aur Preet Paraai (1960),1960,Shankar-Jaikishan,Shailendra,Lata,,
1960s,shiishaa-e-dil itanaa naa uchhaalo -  View,Dil Apnaa Aur Preet Paraai (1960),1960,Shankar-Jaikishan,Hasrat Jaipuri,Lata, Chorus,
1960s,"ajiib daastaa.n hai ye, kahaa.N shuruu kahaa.N khatam -  View",Dil Apnaa Aur Preet Paraai (1960),1960,Shankar-Jaikishan,Shailendra,Lata,,
1960s,dil apanaa aur priit paraa_ii -  View,Dil Apnaa Aur Preet Paraai (1960),1960,Shankar-Jaikishan,Shailendra,Lata,,
1960s,phir terii kahaanii yaad aa_ii phir teraa fasaanaa y... -  View,Dil Diya Dard Liya (1966),1966,Naushad,Shakeel,Lata,,
1960s,ham tere pyaar me.n saaraa aalam kho baiThe -  View,Dil Ek Mandir (1963),1963,Shankar-Jaikishan,Hasrat,Lata,,
1960s,ruk jaa raat Thahar jaa re cha.ndaa -  View,Dil Ek Mandir (1963),1963,Shankar-Jaikishan,Shailendra,Lata,,
1960s,tumhaarii mast nazar gar idhar nahii.n hotii -  View,Dil Hi To Hai (1963),1963,Roshan,Sahir,Mukesh ,Lata,
1970s,rasm-e-ulfat ko nibhaae.n to nibhaae.n kaise -  View,Dil Ki Raahen (1973),1973,Madan Mohan,Naqsh Lyallpuri,Lata,,
1960s,aajaa re pyaar pukaare nainaa to ro\-ro haare -  View,Dil Ne Phir Yaad Kiya (1966),1966,Sonik-Omi,G S Rawal,Lata,,
2000s,saare shahar me.n charchaa ... ik la.Dakaa ik la.Dak... -  View,Dil Ne Phir Yaad Kiya (2001),2001,Aadesh Srivastava,Sameer,Lata, Udit Narayan,
1960s,khaa_ii thii qasam ik raat sanam -  View,Dil Ne Pukara (1967),1967,Kalyanji-Anandji,Prem Warbartani,Lata,,
1990s,jiyaa jale jaan jale -  View,Dil Se (1998),1998,A R Rahman,Gulzar,Lata, Chorus,
1990s,"koii la.Dakii hai, jab vo gaatii hai ... chak dum dum -  View",Dil To Paagal Hai (1997),1997,Uttam Singh,Anand Bakshi,Lata, Udit Narayan, Chorus
1990s,mil jaate hai.n jo bane ik duuje ke vaaste -  View,Dil To Paagal Hai (1997),1997,Uttam Singh,Anand Bakshi,Lata, Hariharan,
1990s,are re are ye kyaa hu_aa maine na ye jaanaa -  View,Dil To Paagal Hai (1997),1997,Uttam Singh,Anand Bakshi,Lata, Udit Narayan,
1990s,bholii sii suurat aa.Nkho.n me.n mastii aa_e haa_e -  View,Dil To Paagal Hai (1997),1997,Uttam Singh,Anand Bakshi,Lata, Udit Narayan,
1990s,chaa.Nd ne kuchh kahaa ... pyaar kar o ho pyaar kar -  View,Dil To Paagal Hai (1997),1997,Uttam Singh,Anand Bakshi,Lata, Udit Narayan,
1990s,dil le gayii le gayii -  View,Dil To Paagal Hai (1997),1997,Uttam Singh,Anand Bakshi,Lata, Udit Narayan,
1990s,dil to paagal hai dil diivaanaa hai -  View,Dil To Paagal Hai (1997),1997,Uttam Singh,Anand Bakshi,Lata, Udit Narayan,
1980s,waadaa na to.D ... merii cha.Dhatii jawaanii ta.Dape -  View,Dil Tujhko Diyaa (1985),1985,Rajesh Roshan,Rajesh Roshan,Lata,,
1960s,baadal to aa_e laharaa ke chhaa_e -  View,Dillagi (1966),1966,Rajesh Roshan,Yogesh,Lata,,
1950s,mahafil me.n kaisii chham chham -  View,Dilli Darbaar (1956),1956,S N Tripathi,Shailendra,Lata,,
1990s,ho gayaa hai tujhako to pyaar sajanaa -  View,Dilwaale Dulhaniyaa Le Jaayenge (1995),1995,Jatin-Lalit,Anand Bakshi,Lata, Udit Narayan,
1990s,"mere Kvaabo.n me.n jo aae, aake mujhe chhe.D jaae -  View",Dilwaale Dulhaniyaa Le Jaayenge (1995),1995,Jatin-Lalit,Anand Bakshi,Lata,,
1950s,ho uma.D\-ghuma.D kar aa_ii re ghaTaa -  View,Do Aankhen Baarah Haath (1957),1957,Vasant Desai,Bharat Vyas,Lata, Manna Day,
1950s,aa_o-aa_o honahaar o pyaare bachche ... tak-tak dhum... -  View,Do Aankhen Baarah Haath (1957),1957,Vasant Desai,Bharat Vyas,Lata, Chorus,
1950s,sai.nyaa jhuuTho.n kaa ba.Daa sarataaj nikalaa -  View,Do Aankhen Baarah Haath (1957),1957,Vasant Desai,Bharat Vyas,Lata,,
1950s,ai maalik tere ba.nde ham -  View,Do Aankhen Baarah Haath (1957),1957,Vasant Desai,Bharat Vyas,V Shantaram,Lata,
1950s,mai.n gaa_uu.N tuu chup ho jaa -  View,Do Aankhen Barah Haath (1957),1957,Vasant Desai,Bharat Vyas,Lata,,
1960s,"lo aa gayii unakii yaad, vo nahii.n aaye -  View",Do Badan (1966),1966,Ravi,Shakeel,Lata,,
1950s,"aa jaa rii aa, ni.ndiyaa tuu aa, jhilamil sitaaro.n ... -  View",Do Beeghaa Zameen (1953),1953,Salil Chowdhury,Shailendra,Lata,,
1950s,sai.nyaa pyaaraa hai apanaa milan -  View,Do Behnen (1959),1959,Vasant Desai,Pradeep,Lata,,
1970s,yaarii ho ga_ii yaar se -  View,Do Chor (1972),1972,R D Burman,Majrooh,Lata,,
1960s,pyaasii hiranii ban\-ban dhaa_e -  View,Do Dil (1965),1965,Hemant Kumar,Kaifi Azmi,Lata,,
1950s,pyaar kii nishaaniyaa.N guzarii huii kahaaniyaa.N -  View,Do Dulhe (1955),1955,B.S Kalla,Pandit Indra,Lata,,
1960s,ye samaa ye rut ye nazaare dil meraa machalane lagaa -  View,Do Kaliyan (1968),1968,Ravi,Sahir,Lata, Rafi,
1960s,bachche man ke sachche -  View,Do Kaliyan (1968),1968,Ravi,Sahir,Lata,,
1950s,ta.Dap ta.Dap ke kaTii umr aashiyaane me.n -  View,Do Phool (1958),1958,Vasant Desai,Hasrat,Lata,,
1960s,"bi.ndiyaa chamakegii, chuu.Dii khanakegii -  View",Do Raaste (1969),1969,Laxmikant-Pyarelal,Anand Bakshi,Lata,,
1950s,ba.Dii pyaarii kahaanii hai mohabbat kii kahaanii bhii -  View,Do Roti (1957),1957,Roshan,Khumar Barabankwi,Lata, Rafi,
1950s,merii aasamaanii gho.Dii -  View,Do Sitare (1951),1951,Anil Biswas,Rajinder Krishan,Lata,,
1960s,pa.nth nihaaruu.N ... pa.De barakhaa phuhaar -  View,Dooj Ka Chand (1964),1964,Roshan,Sahir,Lata,,
1960s,sajan salonaa maa.Ng lo jii ko_ii nikalaa hai duuj k... -  View,Dooj Ka Chand (1964),1964,Roshan,Sahir,Lata, Asha, Chorus
1970s,"kyaa mausam hai, ai diivaane dil chal kahii.n duur n... -  View",Doosaraa Aadmi (1977),1977,Rajesh Roshan,Majrooh,Lata, Kishore, Rafi
1950s,luuTaa hai zamaane ne qismat ne miTaayaa hai -  View,Doraahaa (1952),1952,Anil Biswas,Prem Dhawan,Lata,,
1960s,khanake ka.Nganaa bi.ndiyaa ha.Nse -  View,Dr. Vidya (1962),1962,S D Burman,Majrooh,Lata,,
1960s,pavan diivaanii -  View,Dr. Vidya (1962),1962,S D Burman,Majrooh,Lata,,
1940s,aa.Nkho.n me.n aa jaa dil me.n samaa jaa -  View,Dulari (1949),1949,Naushad,Shakeel,Lata,,
1940s,ai dil tujhe qasam hai -  View,Dulari (1949),1949,Naushad,Shakeel,Lata,,
1940s,do din kii bahaar pyaare dil me.n basaa le pyaar -  View,Dulari (1949),1949,Naushad,Shakeel,Lata, Chorus,
1940s,mil\-mil ke gaaye.nge ho ho do dil yahaa.N -  View,Dulari (1949),1949,Naushad,Shakeel,Lata, Rafi,
1940s,muhabbat hamaarii zamaanaa hamaaraa -  View,Dulari (1949),1949,Naushad,Shakeel,Lata,,
1940s,raat ra.ngiilii mast nazaare giit sunaaye.n chaa.Nd\... -  View,Dulari (1949),1949,Naushad,Shakeel,Lata, Rafi,
1940s,taqadiir jagaa kar aa_ii huu.N -  View,Dulari (1949),1949,Naushad,Shakeel,Lata,,
1960s,ka_ii din se jii hai bekal -  View,Dulhan Ek Raat Ki (1966),1966,Madan Mohan,Raja Mehdi Ali Khan,Lata,,
1960s,"kabhii ai haqiiqat\-e\-mu.ntazar, nazar aa libaas\-e... -  View",Dulhan Ek Raat Ki (1966),1966,Madan Mohan,Iqbal,Lata, Chorus,
1960s,maine ra.ng lii aaj chunariyaa sajanaa tore ra.ng me.n -  View,Dulhan Ek Raat Ki (1966),1966,Madan Mohan,Raja Mehdi Ali Khan,Lata,,
1960s,sapano.n me.n agar mere tum aa_o to so jaauu.N -  View,Dulhan Ek Raat Ki (1966),1966,Madan Mohan,Raja Mehdi Ali Khan,Lata,,
1980s,gahare halke halke gahare -  View,Duniya (1984),1984,R D Burman,Javed Akhtar,Lata, Kishore,
1950s,sajanaa lagan terii sone na de -  View,Duniya Na Maane (1959),1959,Madan Mohan,Rajinder Krishan,Lata,,
1950s,"ham chal rahe the, vo chal rahe the, magar duniyaava... -  View",Duniyaa Na Maane (1959),1959,Madan Mohan,Rajinder Krishan,Lata, Mukesh,
1950s,merii majabuuriyo.n pe jahaa.N chup rahaa -  View,Durgesh Nandini (1956),1956,Hemant Kumar,Rajinder Krishan,Lata,,
1950s,cha.ndan kii naiyyaa pe -  View,Durgesh Nandini (1956),1956,Hemant Kumar,Rajinder Krishan,Lata, Chorus,
1950s,kahaa.N le chale ho bataado musaafir -  View,Durgeshnandini (1956),1956,Hemant Kumar,Rajinder Krishan,Lata,,
1950s,mat maaro shaam pichakaarii -  View,Durgeshnandini (1956),1956,Hemant Kumar,Rajinder Krishan,Lata,,
1950s,merii majabuuriyo.n pe jahaa.N chup rahaa -  View,Durgeshnandini (1956),1956,Hemant Kumar,Rajinder Krishan,Lata,,
1950s,pyaar ke ra.ng me.n sai.nyyaa morii ra.ng de chunari... -  View,Durgeshnandini (1956),1956,Hemant Kumar,Rajinder Krishan,Lata, Hemant, Chorus
1950s,chaa.Nd nikalegaa jidhar ham na udhar dekhe.nge -  View,Durgeshnandini (1956),1956,Hemant Kumar,Rajinder Krishan,Lata,,
1950s,chandan kii naiyyaa pe ho ke savaar gorii -  View,Durgeshnandini (1956),1956,Hemant Kumar,Rajinder Krishan,Lata,,
1970s,prem kaa rog ba.Daa buraa -  View,Dus Numbari (1976),1976,Laxmikant-Pyarelal,Majrooh,Lata,,
1990s,pyaar ko ho jaane do -  View,Dushman (1998),1998,Uttam Singh,Anand Bakshi,Lata, Kumar Sanu,
1990s,aavaaz do hamako ham kho gae -  View,Dushman (1998),1998,Uttam Singh,Anand Bakshi,Lata, Udit Narayan, Chorus
1960s,duur ke o cha.ndaa aa merii baa.Nho.n me.n aa -  View,Ek Dil Sau Afsane (1963),1963,Shankar-Jaikishan,Shailendra,Lata,,
1980s,solah baras kii baalii umar ko salaam -  View,Ek Dooje Ke Liye (1981),1981,Laxmikant-Pyarelal,Anand Bakshi,Lata, Anup Jalota,
1980s,tere mere biich me.n kaisaa hai ye bandhan a.njaanaa -  View,Ek Dooje Ke Liye (1981),1981,Laxmikant-Pyarelal,Anand Bakshi,Lata, S P Balasubramaniam / S ,
1980s,ham bane tum bane ek duuje ke liye -  View,Ek Dooje Ke Liye (1981),1981,Laxmikant-Pyarelal,Anand Bakshi,Lata, S P Balasubramaniam,
1950s,u.Daate hai.n mere Gam kii ha.Nsii ... beqas kii aab... -  View,Ek Hi Raastaa (1956),1956,Hemant Kumar,Majrooh,Lata,,
1950s,chamakaa ban kar aman kaa taaraa -  View,Ek Hi Raastaa (1956),1956,Hemant Kumar,Majrooh,Lata, Hemant, Chorus
1960s,kaun rokegaa ab ... mai.n to pii kii nagariyaa jaane... -  View,Ek Kali Muskayee (1968),1968,Madan Mohan,Rajinder Krishan,Lata,,
1960s,na tum bevafaa ho na ham bevafaa hai.n -  View,Ek Kali Muskayee (1968),1968,Madan Mohan,Rajinder Krishan,Lata,,
1970s,dil me.n kisii ke pyaar kaa jalataa huaa diyaa -  View,Ek Mahal Ho Sapnon Ka (1975),1975,Ravi,Sahir,Lata,,
1970s,pahale sau baar idhar aur udhar dekhaa hai -  View,Ek Nazar (1972),1972,Laxmikant-Pyarelal,Majrooh,Lata,,
1970s,hamii.n kare.n ko_ii surat u.nhe.n bulaane kii -  View,Ek Nazar (1972),1972,Laxmikant-Pyarelal,Majrooh,Lata,,
1960s,soch rahii thii kahuu.N naa kahuu.N par aaj kahuu.Ngii -  View,Ek Phool Chaar Kaante (1960),1960,Shankar-Jaikishan,Shailendra,Lata,,
1960s,banavaarii re (bhajan) -  View,Ek Phool Chaar Kaante (1960),1960,Shankar-Jaikishan,Hasrat,Lata,,
1960s,uThegii tumhaarii nazar dhiire dhiire -  View,Ek Raaz (1963),1963,Chitragupt,Majrooh,Lata,,
1950s,kisii ne aaj mohabbat me.n ... chale bhii aa_o -  View,Ek Saal (1957),1957,Ravi,Prem Dhawan,Lata,,
1950s,sab kuchh luTaa ke hosh me.n aa_e to kyaa kiyaa -  View,Ek Saal (1957),1957,Ravi,Prem Dhawan,Lata,,
1950s,"ulajh gaye do nainaa, dekho -  View",Ek Saal (1957),1957,Ravi,Ravi,Lata, Hemant,
1950s,chhum-chhum chalii piyaa kii galii mai.n sapane naye... -  View,Ek Saal (1957),1957,Ravi,Prem Dhawan,Lata,,
1940s,dillii se aayaa bhaaii Ti.nguu -  View,Ek Thi Larki (1949),1949,Vinod,Aziz Kashmiri,Lata, ???,
1940s,lara lappa lara lappa laayi rakhada -  View,Ek Thi Larki (1949),1949,Vinod,Aziz Kashmiri,Lata, G M Durrani, Rafi
1970s,mai.n kise apanaa kahuu.N aaj meraa ko_ii nahii.n -  View,Ek Thi Reeta (1971),1971,Jaidev,Naqsh Lyallpuri,Lata, Mukesh,
1970s,"dil me.n tujhe biThaake, kar luu.Ngii mai.n ba.nd aa... -  View",Faqeeraa (1976),1976,Ravindra Jain,Ravindra Jain,Lata,,
1960s,dil-e-naadaa.N ko sa.Nbhaaluu.N to chale jaaiyegaa -  View,Faraar (1965),1965,Hemant Kumar,Kaifi Azmi,Lata,,
1960s,pyaar kii daastaa.N tum suno to kahe.n -  View,Faraar (1965),1965,Hemant,Kaifi Azmi,Lata,,
1950s,jaa_oge Thes lagaa ke bahut pachhataa_oge -  View,Fareb (1953),1953,Anil Biswas,Majrooh,Lata,,
1950s,milaa dil mil ke TuuTaa -  View,Fareb (1953),1953,Anil Biswas,Majrooh,Lata,,
1950s,more man me.n samaa gaye aise piyaa -  View,Fareb (1953),1953,Anil Biswas,Majrooh,Lata,,
1950s,raat gunagunaatii hai loriyaa.n sunaatii hai -  View,Fareb (1953),1953,Anil Biswas,Majrooh,Lata,,
2000s,meraa naam hai mohabbat meraa naam yaad rakhanaa -  View,Farz (2000),2000,Uttam Singh,Sameer,Lata, Udit Narayan, Sunny Deol
2000s,dekhe.n bhii to kyaa dekhe.n ... hamane tumhe.n paa ... -  View,Farz (2000),2000,Uttam Singh,Sameer,Lata, Udit Narayan, Chorus
1950s,bahaaro.n se puuchho nazaaro.n se puuchho -  View,Fashion (1957),1957,Hemant Kumar,Bharat Vyas,Lata, Hemant,
1950s,chal diyaa dil meraa to.D ke -  View,Fifty-Fifty (1956),1956,Madan Mohan,Rajinder Krishan,Lata,,
1970s,ham qash\-m\-qash\-e\-Gam se guzar kyo.n nahii.n jaate -  View,Free Love (1974),1974,Laxmikant-Pyarelal,Asad Bhopali,Lata,,
1960s,aa_e re din saavan ke balam tere aavan ke -  View,Gaban (1966),1966,Shankar-Jaikishan,Shailendra,Lata,,
1960s,mai.n ne dekhaa thaa sapano.n me.n ek cha.ndrahaar -  View,Gaban (1966),1966,Shankar-Jaikishan,Hasrat,Lata,,
1940s,baras baras badalii bhii bikhar ga_ii -  View,Gajre (1948),1948,Anil Biswas,G S Nepali,Lata,,
1940s,ghar yahaa.N basaane aa_e the -  View,Gajre (1948),1948,Anil Biswas,G S Nepali,Lata,,
1960s,jay\-jay he jagadambe maataa -  View,Ganga Ki Lahren (1964),1964,Chitragupt,Majrooh,Lata,,
1960s,he ga.ngaa maiyaa tohe piyarii -  View,Ganga Maiya Tohe Piyri Chadhaibo (Bhojpuri-Film) (1962),1962,Chitragupt,Shailendra,Lata, Chorus,
1970s,maano to mai.n ga.ngaa maa.N huu.N -  View,Gangaa Ki Saugandh (1978),1978,Kalyanji-Anandji,Anjaan,Lata,,
1950s,ghar aajaa more raajaa more raajaa aajaa -  View,Garam Coat/ The Clerk And The Coat (1955),1955,Amarnath,Majrooh,Lata,,
1950s,jogiyaa se priit kiye dukh ho_e -  View,Garam Coat/ The Clerk And The Coat (1955),1955,Amarnath,Meerabai,Lata,,
1950s,julfo.nwaale ko kyaa pataa ghuu.NghaT me.n jal ga_ii... -  View,Garam Coat/ The Clerk And The Coat (1955),1955,Amarnath,Majrooh,Lata,,
1950s,kahiyo ro_e.N dukhiyaare jaa re pa.nchhii tuu jaa re -  View,Garam Coat/ The Clerk And The Coat (1955),1955,Amarnath,Majrooh,Lata,,
1950s,nanhe re munne re nanhaa moraa Dole morii a.Nganaiyaa -  View,Garam Coat/ The Clerk And The Coat (1955),1955,Amarnath,Majrooh,Lata,,
1950s,na ha.Nso ham pe zamaane ke hai.n Thukaraae hue -  View,Gateway of India (1957),1957,Madan Mohan,Rajinder Krishan,Lata,,
1950s,sapane me.n sajan se do baate.n -  View,Gateway of India (1957),1957,Madan Mohan,Rajinder Krishan,Lata,,
1970s,tere nainaa kyo.n bhar aa_e -  View,Geet (1970),1970,Kalyanji-Anandji,Anand Bakshi,Lata,Mahendra Kapoor,
1970s,aaj kal paa.Nv zamii.n par nahii.n pa.Date mere -  View,Ghar (1978),1978,R D Burman,Gulzar,Lata,,
1970s,tere binaa jiyaa jaa_e naa -  View,Ghar (1978),1978,R D Burman,Gulzar,Lata,,
1950s,falaq milegaa tujhe kyaa ... ye muhabbat naa miTegii -  View,Ghar Ghar Mein Diwaali (1955),1955,Roshan,Indeevar,Lata, Rafi,
1950s,kahaa.N kho gayii hai bahaar aate aate -  View,Ghar Ghar Mein Diwaali (1955),1955,Roshan,Prem Dhawan,Lata,,
1950s,tuu kisii ke dil kaa dard miTaa -  View,Ghar Ghar Mein Diwaali (1955),1955,Roshan,Prem Dhawan,Lata,,
1970s,hazaar baate.n kahe zamaanaa merii vafaa pe yaqiin -  View,Ghatanaa/ The Incident of Life (1974),1974,Ravi,Ravi,Lata,,
1960s,naGamaa\-o\-sher kii saugaat kise pesh karuu.N -  View,Ghazal (1964),1964,Madan Mohan,Sahir,Lata,,
1960s,un se nazare.n milii aur hijaab aa gayaa -  View,Ghazal (1964),1964,Madan Mohan,Sahir,Lata, Minoo Purshottam,
1980s,"jihaal-e-mastii, makun-b-ranjish -  View",Ghulaami (1985),1985,Laxmikant-Pyarelal,Gulzar,Lata, Shabbir Kumar,
1960s,"laage na moraa jiyaa, sajanaa nahii.n aaye haay -  View",Ghunghat (1960),1960,Ravi,Shakeel,Lata,,
1960s,merii pat raakho giradhaarii mai.n dukhiyaa sharaN t... -  View,Ghunghat (1960),1960,Ravi,Shakeel,Lata,,
